Site Name,Municipality,County,Listed,Map,CERCLIS ID,Latitude,Longitude
Lone Pine Landfill,Freehold Township,Monmouth,09/08/1983[54],Link,NJD980505424,40.202693,-74.332542
"Martin Aaron, Inc.",Camden City,Camden,07/22/1999[55],Link,NJD014623854,39.926127,-75.118741
Maywood Chemical Sites,"Maywood Borough, Rochelle Park Township & Lodi Borough",Bergen,9/8/1999[56],Link,NJD980529762,40.896228,-74.073029
McGuire Air Force Base #1,New Hanover Township,Burlington,10/22/1999[57],Link,NJ0570024018,40.038946,-74.590236
Middlesex Sampling Plant,Middlesex Borough,Middlesex,01/19/1999[58],Link,NJ0890090012,40.572043,-74.491919
Metaltec/Aerosystems,Franklin Borough,Sussex,9/8/1983[59],Link,NJD002517472,41.110723,-74.598756
"Monitor Devices, Inc.",Wall Township,Monmouth,6/10/1983[60],Link,NJD980529408,40.18421,-74.115967
Montgomery Township Housing Development,Montgomery Township,Somerset,9/8/1983[61],Link,NJD980654164,40.410137,-74.645692
Myers Property,Franklin Township,Hunterdon,9/8/1983[62],Link,NJD980654198,40.59474,-74.934609
Nascolite Corporation,Millville City,Cumberland,9/21/1984[63],Link,NJD002362705,39.422209,-75.029815
Naval Air Engineering Center/Station,Manchester Township,Ocean,8/30/1990[64],Link,NJ7170023744,40.011558,-74.315017
Naval Weapons Station Earle,Colts Neck & Howell Township,Monmouth,8/30/1990[64],Link,NJ0170022172,40.265114,-74.162778
"NL Industries, Inc.",Oldmans Township,Salem,9/8/1983[65],Link,NJD061843249,39.757063,-75.427472
Picatinny Arsenal,Rockaway Township,Morris,2/21/1990[66],Link,NJ3210020704,40.901746,-74.566474
PJP Landfill,Jersey City,Hudson,09/08/1983[67],Link,NJD980505648,40.734655,-74.079689
Pohatcong Valley Groundwater Contamination,Washington & Franklin Township,Warren,03/31/1989[68],Link,NJD981179047,40.704642,-75.015444
Price Landfill #1,Egg Harbor Township & Pleasantville City,Atlantic,9/8/1983,Link,NJD070281175,39.41528,-74.52695
Puchack Well Field,Pennsauken Township,Camden,03/06/1998[69],Link,NJD981084767,39.977448,-75.066963
Quanta Resources Corporation,Edgewater Borough,Bergen,09/05/2002[70],Link,NJD000606442,40.804517,-73.993026
"Radiation Technology, Inc. (RTI)",Rockaway Township,Morris,09/21/1984[71],Link,NJD047684451,40.959797,-74.529739
Raritan Bay Slag,Old Bridge Township & Sayreville Borough,Middlesex,11/4/2009,Link,NJN000206276,40.464589,-74.258017
Reich Farm,Toms River,Ocean,09/08/1983[72],Link,NJD980529713,40.018873,-74.218644
Ringwood Mines landfill site,Ringwood Borough,Passaic,09/08/1983[73],Link,NJD980529739,41.142723,-74.269222
Rockaway Borough Well Field,Rockaway Borough,Morris,09/08/1983[74],Link,NJD980654115,40.903396,-74.50804
Rockaway Township Wells,Rockaway Township,Morris,09/08/1983[75],Link,NJD980654214,40.970956,-74.489769
Rocky Hill Municipal Wells,Rocky Hill Borough,Somerset,09/08/1983[76],Link,NJD980654156,40.403187,-74.638872
Roebling Steel,Florence Township,Burlington,09/08/1983[77],Link,NJD073732257,40.119668,-74.77302
Rolling Knolls Landfill,Chatham Township,Morris,09/23/2003[78],Link,NJD980505192,40.736796,-74.44312
"Scientific Chemical Processing, Inc. (SCP Carlstadt)(Berrys Creek)",Carlstadt Borough,Bergen,09/08/1983[79],Link,NJD070565403,40.827103,-74.077153
Sharkey Landfill,Parsippany Troy-Hills Township & East Hanover,Morris,09/08/1983[80],Link,NJD980505762,40.848417,-74.350234
Shieldalloy Corporation,Newfield Borough,Gloucester,09/21/1984[81],Link,NJD002365930,39.551934,-75.014686
South Jersey Clothing Company,Buena Borough,Atlantic,10/04/1989[82],Link,NJD980766828,39.551934,-75.014686
"Standard Chlorine Chemical Company, Inc.",Kearny Town,Hudson,9/19/2007,Link,NJD002175057,40.749184,-74.103918
Swope Oil & Chemical Company,Pennsauken Township,Camden,07/22/1987[83],Link,NJD041743220,39.982334,-75.034156
Syncon Resins,Kearny Town,Hudson,09/08/1983[84],Link,NJD064263817,40.736684,-74.112377
United States Radium Corporation,Orange City,Essex,10/14/1985[85],Link,NJD980654172,40.781561,-74.228134
United States Avenue Burn,Gibbsboro Borough,Camden,07/22/1999[86],Link,NJ0001120799,39.830006,-74.965026
Vineland Chemical,Vineland City,Cumberland,09/21/1984[89],Link,NJD002385664,39.511428,-75.053943
"Waldick Aerospace Devices, Inc.",Wall Township,Monmouth,,Link,NJD054981337,40.142807,-74.060306
Welsbach/General Gas Mantle,Camden & Gloucester,Camden,06/17/1996[90],Link,NJD986620995,39.902412,-75.126149
White Chemical Company,Newark City,Essex,09/25/1991[91],Link,NJD980755623,40.698751,-74.197802
White Swan Cleaners/Sun Cleaners Area Ground Water,Wall Township,Monmouth,04/30/2003[92],Link,NJSFN0204241,40.135812,-74.062723
Williams Property,Middle Township,Cape May,09/08/1983[93],Link,NJD980529945,39.120423,-74.801558
Woodbrook Road Dump,South Plainfield Borough,Middlesex,04/30/2003[94],Link,NJSFN0204260,40.558574,-74.39685
Woodland Township Route 532 Dump,Woodland Township,Burlington,09/21/1984[95],Link,NJD980505887,39.820594,-74.529087
Woodland Township Route 72 Dump,Woodland Township,Burlington,09/21/1984[96],Link,NJD980505879,39.846684,-74.489037
Zschiegner Refining Company,Howell Township,Monmouth,9/8/1983,Link,NJD986643153,40.145125,-74.199117
